CustomerId,Yearly Call Duration (in Mins),Call Count,Data Usage,Complaints,Subscription  Length,International Plan,Age Group,Tariff Plan,Net Customer Spend,Churn
1,4370,71,5,0,38,Yes,31-40,2,1140,No
2,2453,60,359,0,37,No,31-40,1,740,No
3,3400,33,490,1,40,Yes,31-40,2,1200,Yes
4,3400,33,490,1,40,Yes,31-40,2,1200,Yes
5,3775,82,32,0,38,No,31-40,3,1520,No
6,2360,39,285,0,38,No,31-40,2,1140,No
7,9115,121,144,0,37,No,31-40,3,1480,No
8,13773,169,0,0,38,No,31-40,4,1900,No
9,7508,127,384,1,37,Yes,21-30,2,1110,Yes
10,5918,95,7,0,38,No,31-40,1,760,No
11,2238,54,8,0,38,Yes,31-40,1,760,No
12,7508,127,384,1,37,Yes,21-30,2,1110,Yes
13,3095,27,483,0,38,No,31-40,2,1140,No
14,15485,182,150,0,37,Yes,21-30,4,1850,No
15,6500,86,186,0,37,No,31-40,1,740,No
16,875,14,0,0,37,Yes,21-30,3,1480,No
17,710,14,13,0,38,Yes,31-40,2,1140,No
18,7508,127,384,0,37,Yes,21-30,2,1110,No
19,11465,154,11,0,37,No,41-50,2,1110,No
20,6718,75,108,0,37,Yes,21-30,4,1850,No
21,955,47,16,1,33,Yes,21-30,1,660,Yes
22,10435,93,1,1,36,Yes,51-60,1,720,No
23,5818,98,26,1,36,No,21-30,1,720,No
24,2840,22,0,0,34,No,31-40,2,1020,No
25,2970,29,487,1,39,Yes,31-40,2,1170,Yes
26,2268,44,34,1,36,No,31-40,1,720,No
27,3400,27,482,1,35,Yes,31-40,2,1050,Yes
28,1668,25,0,0,36,No,31-40,1,720,No
29,3210,32,481,0,40,Yes,31-40,1,800,Yes
30,628,7,9,1,36,Yes,21-30,2,1080,Yes
31,16075,238,0,0,41,No,21-30,3,1640,No
32,6965,116,271,0,34,No,21-30,2,1020,No
33,3718,82,2,0,36,No,21-30,4,1800,No
34,1665,44,38,0,35,No,31-40,1,700,No
35,2790,27,484,0,41,Yes,31-40,1,820,Yes
36,1315,36,193,0,47,No,21-30,2,1410,No
37,7448,124,379,0,35,Yes,21-30,2,1050,Yes
38,3220,25,479,0,37,Yes,31-40,2,1110,Yes
39,7508,121,376,0,32,Yes,21-30,1,640,Yes
40,1225,32,19,0,45,No,21-30,1,900,No
41,7203,121,377,0,35,Yes,21-30,2,1050,Yes
42,7428,125,374,0,33,Yes,21-30,1,660,Yes
43,6393,141,85,0,47,No,21-30,2,1410,No
44,7928,139,423,0,40,Yes,31-40,1,800,Yes
45,2853,45,31,0,46,No,31-40,2,1380,No
46,4390,40,215,0,41,No,31-40,4,2050,No
47,3015,25,473,0,34,Yes,31-40,1,680,Yes
48,2915,19,472,1,35,Yes,31-40,2,1050,Yes
49,2513,63,364,0,39,No,31-40,3,1560,No
50,4258,69,6,0,40,Yes,16-20,4,2000,No
51,2453,61,7,0,40,Yes,21-30,2,1200,No
52,3835,85,37,0,40,No,31-40,2,1200,No
53,2420,42,290,0,40,No,31-40,3,1600,No
54,9175,124,149,0,39,No,31-40,1,780,No
55,13833,172,5,0,40,No,31-40,1,800,No
56,4575,86,7,0,40,Yes,31-40,2,1200,No
57,5978,98,12,0,40,No,31-40,4,2000,No
58,2298,57,13,0,40,No,31-40,2,1200,No
59,15200,228,59,0,40,No,31-40,3,1600,No
60,3155,30,488,0,40,No,31-40,3,1600,No
61,15545,185,155,0,39,No,21-30,1,780,No
62,7913,132,385,1,36,No,21-30,2,1080,Yes
63,935,17,5,0,39,No,21-30,2,1170,No
64,770,17,18,0,40,No,31-40,2,1200,No
65,7568,130,389,0,39,No,31-40,3,1560,No
66,11525,157,16,0,39,No,41-50,1,780,No
67,6778,78,113,0,39,No,21-30,2,1170,No
68,1015,50,21,1,35,No,31-40,1,700,No
69,10495,96,6,1,38,No,51-60,2,1140,No
70,5878,101,31,0,38,No,21-30,1,760,No
71,2900,25,5,0,36,Yes,31-40,1,720,No
72,2730,18,471,1,34,Yes,31-40,2,1020,Yes
73,2328,47,39,1,38,No,31-40,2,1140,No
74,1728,28,5,0,38,No,41-50,2,1140,No
75,6845,100,19,0,35,No,51-60,2,1050,No
76,7123,119,367,1,31,No,21-30,1,620,Yes
77,16135,241,5,0,33,No,21-30,3,1320,No
