CountryCode&CustomerId,Yearly Call Duration (in Mins),Call Count,Data Usage,Complaints,Subscription  Length,Age Group,Tariff Plan,Churn
0049+5,3775,82,32,0,38,31-40,3,No
001+7,9115,121,144,0,37,31-40,3,No
001+8,13773,169,0,0,38,31-40,4,No
0044+14,15485,182,150,0,37,21-30,4,No
0044+16,875,14,0,0,37,21-30,3,No
0061+20,6718,75,108,0,37,21-30,4,No
001+31,16075,238,0,0,41,21-30,3,No
001+33,3718,82,2,0,36,21-30,4,No
001+46,4390,40,215,0,41,31-40,4,No
0086+49,2513,63,364,0,39,31-40,3,No
0086+50,4258,69,6,0,40,16-20,4,No
0044+53,2420,42,290,0,40,31-40,3,No
001+57,5978,98,12,0,40,31-40,4,No
0086+59,15200,228,59,0,40,31-40,3,No
001+60,3155,30,488,0,40,31-40,3,No
0044+65,7568,130,389,0,39,31-40,3,No
0049+77,16135,241,5,0,33,21-30,3,No
0086+78,7025,119,276,1,36,31-40,3,No
0086+80,1725,47,43,0,37,31-40,3,No
0049+94,4310,68,0,0,36,21-30,4,No
0049+100,9055,118,139,0,35,31-40,4,No
0044+105,15080,222,49,0,36,31-40,4,No
0049+106,3035,24,478,0,36,31-40,4,No
001+108,6440,83,181,0,35,31-40,4,No
0061+109,815,11,0,0,35,21-30,4,No
0061+110,650,11,8,0,36,21-30,3,No
0061+114,895,44,11,0,41,21-30,3,No
0061+116,5758,95,21,0,34,21-30,4,No
0086+117,2780,19,0,0,42,31-40,3,No
0086+127,2720,50,170,0,34,21-30,4,No
0086+130,640,22,5,0,45,21-30,3,No
0044+138,4330,37,210,0,34,31-40,3,No
0044+144,3855,84,42,0,42,31-40,4,No
0061+149,5998,97,17,0,42,31-40,3,No
0061+152,3175,29,493,0,42,31-40,3,No
001+155,955,16,10,0,41,21-30,4,No
001+156,790,16,23,0,42,31-40,3,No
001+163,2920,24,10,0,38,31-40,3,No
0086+165,2348,46,44,1,40,31-40,3,No
0044+167,1748,27,10,0,40,41-50,3,No
0086+168,6865,99,24,0,37,51-60,3,No
0086+170,418,6,14,0,40,51-60,3,No
001+172,7045,118,281,1,38,21-30,3,No
0044+174,1745,46,48,0,39,31-40,4,No
001+179,905,12,31,0,30,41-50,3,No
0061+181,3305,63,18,0,39,31-40,4,No
0044+190,4118,64,0,0,34,16-20,3,No
0061+193,2280,37,275,0,34,31-40,3,No
0086+198,2158,52,0,0,34,31-40,3,No
0044+207,6638,73,98,0,33,21-30,3,No
0049+209,10355,91,0,0,42,41-50,3,No
0086+221,1235,34,183,0,33,21-30,3,No
0061+227,6313,139,75,0,43,16-20,3,No
001+230,4310,38,205,0,37,31-40,3,No
0086+232,4630,81,20,0,44,31-40,3,No
0061+233,578,15,22,0,45,31-40,4,No
0044+235,4458,76,16,0,44,16-20,4,No
0086+241,4775,93,17,0,44,31-40,4,No
0061+244,15400,235,69,0,44,31-40,4,No
0044+248,1135,24,15,0,43,21-30,3,No
0044+253,6978,85,123,0,43,21-30,3,No
0049+271,960,35,25,0,33,31-40,3,No
0049+273,1485,42,34,0,41,21-30,3,No
0049+276,6653,151,100,0,43,21-30,3,No
001+277,9193,181,88,0,41,51-60,3,No
0061+278,3113,55,46,0,42,31-40,4,No
001+281,4110,61,0,0,42,21-30,4,No
0061+288,8855,111,129,0,41,31-40,4,No
0061+291,1978,44,0,0,42,31-40,4,No
0061+295,615,4,0,0,41,21-30,4,No
0086+296,450,4,0,0,42,21-30,3,No
0086+298,7248,117,369,0,41,21-30,3,No
0061+303,5558,88,11,1,30,21-30,3,No
0086+304,2580,12,0,0,38,31-40,3,No
0086+313,1308,29,15,0,20,41-50,3,No
0049+320,2593,35,16,0,32,31-40,4,No
0044+322,1228,9,0,1,44,21-30,4,No
001+323,4550,79,16,0,41,31-40,4,No
001+331,13953,177,11,0,41,31-40,4,No
0086+332,4695,91,13,0,41,31-40,3,No
0061+335,3275,35,494,0,41,31-40,3,No
0086+336,15665,190,161,0,40,21-30,4,No
0086+338,1055,22,11,0,40,21-30,3,No
0086+339,890,22,24,0,41,31-40,4,No
0086+345,10615,101,12,0,39,51-60,3,No
0061+347,6805,92,193,1,39,31-40,3,Yes
0049+348,3170,49,20,1,38,31-40,4,No
001+349,2448,52,45,1,39,31-40,3,No
0086+352,808,15,20,0,39,41-50,4,No
0061+354,16255,246,11,1,34,21-30,3,Yes
0086+355,3898,90,13,0,39,21-30,3,No
0061+357,2960,61,186,0,39,21-30,3,No
0044+359,880,33,21,0,30,21-30,3,No
0061+361,3345,69,197,1,44,21-30,3,Yes
0061+366,4570,48,226,0,45,31-40,4,No
001+368,3380,63,196,0,36,21-30,3,Yes
0086+369,2273,52,348,0,34,31-40,4,No
0049+382,695,6,0,0,34,21-30,4,No
0086+385,11285,146,0,0,34,41-50,3,No
0044+387,775,39,5,1,30,21-30,4,No
0061+393,9375,131,159,0,43,31-40,3,Yes
0086+401,9480,130,156,1,41,31-40,3,Yes
0086+408,6213,133,74,0,44,21-30,4,No
001+410,4210,32,204,0,41,31-40,3,No
0061+416,2993,68,23,0,38,21-30,3,No
0086+418,2960,49,306,1,38,31-40,3,Yes
0086+430,600,10,21,0,37,21-30,3,No
0044+438,3590,51,30,1,35,31-40,3,No
0044+446,7565,126,292,0,34,21-30,3,No
0086+448,2265,54,59,1,35,31-40,4,No
0086+452,1300,35,31,0,35,31-40,3,No
001+454,1825,42,40,0,39,21-30,3,No
0049+464,3175,72,11,0,38,31-40,3,No
0044+471,14540,215,33,0,38,31-40,4,No
001+473,14885,172,129,0,37,21-30,3,No
0061+482,1668,34,13,0,36,31-40,4,No
0086+486,6365,106,250,0,34,21-30,4,No
001+488,1065,34,17,0,35,31-40,4,No
0049+490,715,26,172,0,46,21-30,3,No
0061+491,968,29,9,0,48,41-50,3,No
001+493,625,22,0,0,47,21-30,3,No
0061+498,2253,35,10,0,46,31-40,3,No
0049+504,3890,88,64,0,39,31-40,3,No
0044+508,4630,89,34,0,39,31-40,3,No
0061+509,6033,101,39,0,39,31-40,4,No
0049+512,3210,33,515,0,39,41-50,4,No
0044+518,11580,160,43,0,38,41-50,3,No
001+520,1070,53,48,1,34,31-40,3,No
0044+529,453,10,36,0,37,51-60,3,No
0049+530,16190,244,32,0,42,21-30,3,No
0061+534,2895,59,207,0,37,21-30,3,No
001+537,815,31,42,0,43,31-40,4,No
001+542,6508,147,117,0,48,21-30,4,No
001+543,9048,177,105,0,46,51-60,3,No
001+547,4255,65,0,0,37,21-30,3,No
001+548,2338,54,327,0,36,21-30,3,No
0044+553,9000,115,112,0,36,31-40,4,No
0044+555,4400,77,0,0,37,31-40,4,No
0049+561,6385,80,154,0,36,31-40,4,No
0086+568,10320,87,0,0,35,41-50,4,No
0044+570,2725,16,0,0,33,31-40,3,No
0044+572,2153,38,2,0,35,31-40,4,No
001+575,513,1,0,0,35,41-50,3,No
0044+576,1620,42,200,0,29,31-40,3,Yes
0049+579,3603,76,0,0,35,21-30,3,No
001+587,3110,55,0,0,34,31-40,4,No
0086+593,1373,13,0,1,42,21-30,3,No
001+596,2643,61,368,1,37,31-40,3,Yes
0061+597,4388,67,10,0,38,16-20,3,No
0044+602,13963,170,9,0,38,31-40,3,No
0061+605,2428,55,17,1,38,31-40,3,No
0044+613,7698,128,393,1,37,21-30,3,Yes
0061+617,10625,94,10,0,36,51-60,3,No
0049+624,818,8,18,0,36,41-50,4,No
0044+627,7155,117,280,0,34,21-30,3,No
0061+628,3908,83,11,0,36,21-30,4,No
0086+639,9122,172,82,0,45,41-50,4,No
0049+640,3042,46,40,0,46,31-40,3,No
